agrupacion_nombre,sum votos_cantidad,circuito_id,seccion_nombre
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,253,00045,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,276,00046,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,772,00047,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,493,00048,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,365,00049,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,414,00050,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,281,00051,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,417,00052,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,544,00053,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,506,00054,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,344,00055,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,397,00056,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,760,00057,4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,516,00058,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,463,00059,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,548,00060,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,458,00061,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,390,00062,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,687,00063,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,674,00064,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,445,00065,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,442,00066,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,675,00067,5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,655,00068,6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,775,00069,6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,779,00070,6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,886,00071,6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,455,00072,6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,611,00073,6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,631,00074,6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,314,00075,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,524,00076,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,415,00077,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,364,00078,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,398,00079,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,372,00080,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,343,00081,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,413,00082,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,471,00083,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,361,00084,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,216,00085,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1607,00086,7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1494,00087,8
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,436,00088,8
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1880,00089,8
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1452,00090,8
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,457,00091,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,546,00092,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,283,00093,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,466,00094,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,558,00095,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,510,00096,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,390,00097,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,664,00098,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,338,00099,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,419,00100,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,577,00101,9
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,427,00102,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,382,00103,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,349,00104,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,634,00105,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,443,00106,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,663,00107,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,425,00108,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,675,00109,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,314,00110,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,433,00111,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,293,00112,10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,407,00113,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,546,00114,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,436,00115,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,612,00116,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,592,00117,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,404,00118,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,526,00119,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,482,00120,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,447,00121,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,281,00122,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,396,00123,11
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,497,00124,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,631,00125,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,557,00126,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,616,00127,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,586,00128,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,771,00129,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,545,00130,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,172,00131,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,600,00132,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,523,00133,12
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,209,00134,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,264,00135,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,403,00136,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,388,00137,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,607,00138,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,363,00139,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,195,00140,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,261,00141,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,296,00142,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,393,00143,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,139,00144,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,420,00145,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,347,00146,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,436,00147,13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,386,00148,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,365,00149,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,102,00150,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,334,00151,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,338,00152,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,540,00153,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,721,00154,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,664,00155,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,309,00156,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,505,00157,14
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,617,00158,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,393,00159,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,703,00160,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,659,00161,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,626,00162,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,485,00163,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,443,00164,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,704,00165,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,539,00166,15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,411,00167,15
JUNTOS POR EL CAMBIO,2709,00001,1
JUNTOS POR EL CAMBIO,2384,00002,1
JUNTOS POR EL CAMBIO,1366,00003,1
JUNTOS POR EL CAMBIO,1252,00004,1
JUNTOS POR EL CAMBIO,2636,00005,1
JUNTOS POR EL CAMBIO,8115,00006,1
JUNTOS POR EL CAMBIO,3647,00007,1
JUNTOS POR EL CAMBIO,3201,00008,1
JUNTOS POR EL CAMBIO,3800,00009,1
JUNTOS POR EL CAMBIO,3985,00010,1
JUNTOS POR EL CAMBIO,3187,00011,1
