descripcion_candidatura,sum cant_votos,CIRCUITO,COMUNA
Buenos Aires Primero,926,00062,5
Buenos Aires Primero,1955,00063,5
Buenos Aires Primero,2064,00064,5
Buenos Aires Primero,1036,00065,5
Buenos Aires Primero,1290,00066,5
Buenos Aires Primero,1910,00067,5
Buenos Aires Primero,2196,00068,6
Buenos Aires Primero,3918,00069,6
Buenos Aires Primero,2819,00070,6
Buenos Aires Primero,3950,00071,6
Buenos Aires Primero,1282,00072,6
Buenos Aires Primero,1845,00073,6
Buenos Aires Primero,3132,00074,6
Buenos Aires Primero,1074,00075,7
Buenos Aires Primero,1696,00076,7
Buenos Aires Primero,1125,00077,7
Buenos Aires Primero,906,00078,7
Buenos Aires Primero,1119,00079,7
Buenos Aires Primero,1429,00080,7
Buenos Aires Primero,832,00081,7
Buenos Aires Primero,1280,00082,7
Buenos Aires Primero,2472,00083,7
Buenos Aires Primero,1031,00084,7
Buenos Aires Primero,830,00085,7
Buenos Aires Primero,1784,00086,7
Buenos Aires Primero,1925,00087,8
Buenos Aires Primero,1266,00088,8
Buenos Aires Primero,3099,00089,8
Buenos Aires Primero,2980,00090,8
Buenos Aires Primero,531,00091,9
Buenos Aires Primero,1147,00092,9
Buenos Aires Primero,655,00093,9
Buenos Aires Primero,885,00094,9
Buenos Aires Primero,1515,00095,9
Buenos Aires Primero,887,00096,9
Buenos Aires Primero,815,00097,9
Buenos Aires Primero,1990,00098,9
Buenos Aires Primero,1160,00099,9
Buenos Aires Primero,1417,00100,9
Buenos Aires Primero,1549,00101,9
Buenos Aires Primero,1377,00102,10
Buenos Aires Primero,1154,00103,10
Buenos Aires Primero,1142,00104,10
Buenos Aires Primero,1796,00105,10
Buenos Aires Primero,1048,00106,10
Buenos Aires Primero,1875,00107,10
Buenos Aires Primero,1107,00108,10
Buenos Aires Primero,1745,00109,10
Buenos Aires Primero,899,00110,10
Buenos Aires Primero,919,00111,10
Buenos Aires Primero,758,00112,10
Buenos Aires Primero,1131,00113,11
Buenos Aires Primero,1618,00114,11
Buenos Aires Primero,1060,00115,11
Buenos Aires Primero,1565,00116,11
Buenos Aires Primero,1845,00117,11
Buenos Aires Primero,1637,00118,11
Buenos Aires Primero,1982,00119,11
Buenos Aires Primero,2066,00120,11
Buenos Aires Primero,1640,00121,11
Buenos Aires Primero,1776,00122,11
Buenos Aires Primero,1603,00123,11
Buenos Aires Primero,1787,00124,12
Buenos Aires Primero,2472,00125,12
Buenos Aires Primero,1898,00126,12
Buenos Aires Primero,3319,00127,12
Buenos Aires Primero,2229,00128,12
Buenos Aires Primero,3245,00129,12
Buenos Aires Primero,2109,00130,12
Buenos Aires Primero,592,00131,12
Buenos Aires Primero,2023,00132,12
Buenos Aires Primero,2433,00133,12
Buenos Aires Primero,1129,00134,13
Buenos Aires Primero,1563,00135,13
Buenos Aires Primero,1935,00136,13
Buenos Aires Primero,1761,00137,13
Buenos Aires Primero,4104,00138,13
Buenos Aires Primero,2577,00139,13
Buenos Aires Primero,1054,00140,13
Buenos Aires Primero,2028,00141,13
Buenos Aires Primero,4196,00142,13
Buenos Aires Primero,2727,00143,13
Buenos Aires Primero,1293,00144,13
Buenos Aires Primero,1896,00145,13
Buenos Aires Primero,1239,00146,13
Buenos Aires Primero,2956,00147,13
